# file...... GLM_Files/OutPut_of_glm/HVACs/IEEE13_HVAC_House_1.csv
# date...... Thu Sep  7 17:11:32 2023
# user...... rahman
# host...... (null)
# target.... house 165
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,hvac_load,energy,heating_setpoint,cooling_setpoint,mass_temperature, air_temperature,outdoor_temperature,system_mode,thermostat_deadband,aux_heat_deadband,floor_area,number_of_doors,number_of_stories,window_wall_ratio, heating_COP, cooling_COP,aux_heat_temperature_lockout
2022-05-13 00:00:00 PDT,+0,+0+0i,+72,+79,+71.8581,+71.8581,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:01:00 PDT,+0,+0+0i,+72,+79,+71.8567,+71.6877,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:02:00 PDT,+0,+0+0i,+72,+79,+71.8489,+71.5448,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:03:00 PDT,+0,+0+0i,+72,+79,+71.836,+71.4239,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:04:00 PDT,+0,+0+0i,+72,+79,+71.819,+71.3206,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:05:00 PDT,+0,+0+0i,+72,+79,+71.7987,+71.2315,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:06:00 PDT,+0,+0+0i,+72,+79,+71.7759,+71.1537,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:07:00 PDT,+0,+0+0i,+72,+79,+71.7509,+71.0851,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:08:00 PDT,+0,+0+0i,+72,+79,+71.7243,+71.0237,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:09:00 PDT,+9.25998,+0.0900276+0i,+72,+79,+71.7022,+71.4399,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:10:00 PDT,+9.25998,+0.244361+0i,+72,+79,+71.7078,+72.0933,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:11:00 PDT,+9.25998,+0.398694+0i,+72,+79,+71.7379,+72.6416,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:12:00 PDT,+0,+0.517016+0i,+72,+79,+71.7867,+72.911,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:13:00 PDT,+0,+0.517016+0i,+72,+79,+71.8281,+72.5589,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:14:00 PDT,+0,+0.517016+0i,+72,+79,+71.8546,+72.2703,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:15:00 PDT,+0,+0.517016+0i,+72,+79,+71.8691,+72.0326,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:16:00 PDT,+0,+0.517016+0i,+72,+79,+71.8739,+71.8357,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:17:00 PDT,+0,+0.517016+0i,+72,+79,+71.8712,+71.6715,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:18:00 PDT,+0,+0.517016+0i,+72,+79,+71.8622,+71.5336,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:19:00 PDT,+0,+0.517016+0i,+72,+79,+71.8484,+71.4166,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:20:00 PDT,+0,+0.517016+0i,+72,+79,+71.8307,+71.3165,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:21:00 PDT,+0,+0.517016+0i,+72,+79,+71.8098,+71.2299,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:22:00 PDT,+0,+0.517016+0i,+72,+79,+71.7865,+71.1542,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:23:00 PDT,+0,+0.517016+0i,+72,+79,+71.7611,+71.0871,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:24:00 PDT,+0,+0.517016+0i,+72,+79,+71.7342,+71.027,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:25:00 PDT,+9.25998,+0.594182+0i,+72,+79,+71.7104,+71.3797,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:26:00 PDT,+9.25998,+0.748515+0i,+72,+79,+71.7133,+72.0442,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:27:00 PDT,+9.25998,+0.902848+0i,+72,+79,+71.7414,+72.6013,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:28:00 PDT,+0,+1.03403+0i,+72,+79,+71.7891,+72.9463,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:29:00 PDT,+0,+1.03403+0i,+72,+79,+71.8318,+72.5888,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:30:00 PDT,+0,+1.03403+0i,+72,+79,+71.8592,+72.2959,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:31:00 PDT,+0,+1.03403+0i,+72,+79,+71.8745,+72.0548,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:32:00 PDT,+0,+1.03403+0i,+72,+79,+71.88,+71.8551,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:33:00 PDT,+0,+1.03403+0i,+72,+79,+71.8777,+71.6887,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:34:00 PDT,+0,+1.03403+0i,+72,+79,+71.8692,+71.549,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:35:00 PDT,+0,+1.03403+0i,+72,+79,+71.8557,+71.4306,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:36:00 PDT,+0,+1.03403+0i,+72,+79,+71.8382,+71.3293,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:37:00 PDT,+0,+1.03403+0i,+72,+79,+71.8176,+71.2418,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:38:00 PDT,+0,+1.03403+0i,+72,+79,+71.7944,+71.1653,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:39:00 PDT,+0,+1.03403+0i,+72,+79,+71.7692,+71.0977,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:40:00 PDT,+0,+1.03403+0i,+72,+79,+71.7423,+71.0371,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:41:00 PDT,+9.25998,+1.08548+0i,+72,+79,+71.7162,+71.2577,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:42:00 PDT,+9.25998,+1.23981+0i,+72,+79,+71.7142,+71.9429,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:43:00 PDT,+9.25998,+1.39414+0i,+72,+79,+71.7384,+72.5166,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:44:00 PDT,+0,+1.54847+0i,+72,+79,+71.7835,+73.0009,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:45:00 PDT,+0,+1.54847+0i,+72,+79,+71.8284,+72.6337,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:46:00 PDT,+0,+1.54847+0i,+72,+79,+71.8577,+72.333,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:47:00 PDT,+0,+1.54847+0i,+72,+79,+71.8744,+72.0856,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:48:00 PDT,+0,+1.54847+0i,+72,+79,+71.8811,+71.8809,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:49:00 PDT,+0,+1.54847+0i,+72,+79,+71.8798,+71.7105,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:50:00 PDT,+0,+1.54847+0i,+72,+79,+71.872,+71.5675,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:51:00 PDT,+0,+1.54847+0i,+72,+79,+71.8591,+71.4466,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:52:00 PDT,+0,+1.54847+0i,+72,+79,+71.8421,+71.3432,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:53:00 PDT,+0,+1.54847+0i,+72,+79,+71.8218,+71.2541,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:54:00 PDT,+0,+1.54847+0i,+72,+79,+71.7989,+71.1762,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:55:00 PDT,+0,+1.54847+0i,+72,+79,+71.7739,+71.1075,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:56:00 PDT,+0,+1.54847+0i,+72,+79,+71.7473,+71.0461,+50.002,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:57:00 PDT,+9.25998,+1.5742+0i,+72,+79,+71.7198,+71.1303,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:58:00 PDT,+9.25998,+1.72853+0i,+72,+79,+71.7129,+71.8367,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 00:59:00 PDT,+9.25998,+1.88286+0i,+72,+79,+71.7331,+72.4274,+50.002,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:00:00 PDT,+9.16595,+2.0372+0i,+72,+79,+71.775,+72.9254,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:01:00 PDT,+0,+2.0652+0i,+72,+79,+71.8225,+72.6905,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:02:00 PDT,+0,+2.0652+0i,+72,+79,+71.854,+72.3708,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:03:00 PDT,+0,+2.0652+0i,+72,+79,+71.8721,+72.1079,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:04:00 PDT,+0,+2.0652+0i,+72,+79,+71.8795,+71.8904,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:05:00 PDT,+0,+2.0652+0i,+72,+79,+71.8784,+71.7093,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:06:00 PDT,+0,+2.0652+0i,+72,+79,+71.8705,+71.5575,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:07:00 PDT,+0,+2.0652+0i,+72,+79,+71.8571,+71.429,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:08:00 PDT,+0,+2.0652+0i,+72,+79,+71.8393,+71.3194,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:09:00 PDT,+0,+2.0652+0i,+72,+79,+71.818,+71.2248,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:10:00 PDT,+0,+2.0652+0i,+72,+79,+71.794,+71.1423,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:11:00 PDT,+0,+2.0652+0i,+72,+79,+71.7677,+71.0694,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:12:00 PDT,+0,+2.0652+0i,+72,+79,+71.7396,+71.0044,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:13:00 PDT,+9.16595,+2.20524+0i,+72,+79,+71.7241,+71.6514,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:14:00 PDT,+9.16595,+2.358+0i,+72,+79,+71.7363,+72.2498,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:15:00 PDT,+9.16595,+2.51077+0i,+72,+79,+71.7708,+72.7529,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:16:00 PDT,+0,+2.59734+0i,+72,+79,+71.8198,+72.8317,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:17:00 PDT,+0,+2.59734+0i,+72,+79,+71.8568,+72.4887,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:18:00 PDT,+0,+2.59734+0i,+72,+79,+71.8793,+72.207,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:19:00 PDT,+0,+2.59734+0i,+72,+79,+71.8902,+71.9746,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:20:00 PDT,+0,+2.59734+0i,+72,+79,+71.8919,+71.7815,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:21:00 PDT,+0,+2.59734+0i,+72,+79,+71.8862,+71.62,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:22:00 PDT,+0,+2.59734+0i,+72,+79,+71.8745,+71.4838,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:23:00 PDT,+0,+2.59734+0i,+72,+79,+71.8581,+71.368,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:24:00 PDT,+0,+2.59734+0i,+72,+79,+71.838,+71.2684,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:25:00 PDT,+0,+2.59734+0i,+72,+79,+71.8148,+71.1819,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:26:00 PDT,+0,+2.59734+0i,+72,+79,+71.7893,+71.1058,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:27:00 PDT,+0,+2.59734+0i,+72,+79,+71.7618,+71.0382,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:28:00 PDT,+9.16595,+2.6559+0i,+72,+79,+71.7353,+71.2865,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:29:00 PDT,+9.16595,+2.80866+0i,+72,+79,+71.7332,+71.9458,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:30:00 PDT,+9.16595,+2.96143+0i,+72,+79,+71.7563,+72.4978,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:31:00 PDT,+9.16595,+3.1142+0i,+72,+79,+71.7994,+72.9638,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:32:00 PDT,+0,+3.12947+0i,+72,+79,+71.8452,+72.6667,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:33:00 PDT,+0,+3.12947+0i,+72,+79,+71.8749,+72.3544,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:34:00 PDT,+0,+3.12947+0i,+72,+79,+71.8916,+72.0973,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:35:00 PDT,+0,+3.12947+0i,+72,+79,+71.8978,+71.8845,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:36:00 PDT,+0,+3.12947+0i,+72,+79,+71.8958,+71.7072,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:37:00 PDT,+0,+3.12947+0i,+72,+79,+71.8871,+71.5584,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:38:00 PDT,+0,+3.12947+0i,+72,+79,+71.8731,+71.4324,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:39:00 PDT,+0,+3.12947+0i,+72,+79,+71.8548,+71.3247,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:40:00 PDT,+0,+3.12947+0i,+72,+79,+71.8332,+71.2316,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:41:00 PDT,+0,+3.12947+0i,+72,+79,+71.8088,+71.1503,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:42:00 PDT,+0,+3.12947+0i,+72,+79,+71.7823,+71.0784,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:43:00 PDT,+0,+3.12947+0i,+72,+79,+71.754,+71.0141,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:44:00 PDT,+9.16595,+3.24405+0i,+72,+79,+71.7338,+71.5418,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:45:00 PDT,+9.16595,+3.39681+0i,+72,+79,+71.7415,+72.1595,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:46:00 PDT,+9.16595,+3.54958+0i,+72,+79,+71.7723,+72.6781,+48.922,HEAT,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:47:00 PDT,+0,+3.66161+0i,+72,+79,+71.8204,+72.8999,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:48:00 PDT,+0,+3.66161+0i,+72,+79,+71.8599,+72.5459,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:49:00 PDT,+0,+3.66161+0i,+72,+79,+71.8845,+72.2555,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:50:00 PDT,+0,+3.66161+0i,+72,+79,+71.8971,+72.0159,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:51:00 PDT,+0,+3.66161+0i,+72,+79,+71.9,+71.8172,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:52:00 PDT,+0,+3.66161+0i,+72,+79,+71.8954,+71.6512,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:53:00 PDT,+0,+3.66161+0i,+72,+79,+71.8846,+71.5114,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:54:00 PDT,+0,+3.66161+0i,+72,+79,+71.8689,+71.3926,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:55:00 PDT,+0,+3.66161+0i,+72,+79,+71.8492,+71.2907,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:56:00 PDT,+0,+3.66161+0i,+72,+79,+71.8265,+71.2022,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
2022-05-13 01:57:00 PDT,+0,+3.66161+0i,+72,+79,+71.8013,+71.1247,+48.922,OFF,+2,+2,+1500,+4,+1,+0.0746542,+1,+1,+10
