datetime,Net_Total,HVAC
02/08/22 0:00,1.4957000000000116,1.0943003
02/08/22 1:00,1.4655,1.1949171
02/08/22 2:00,1.7921999999999971,1.275059
02/08/22 3:00,1.591199999999997,1.3383203
02/08/22 4:00,1.5023999999999942,1.1190053
02/08/22 5:00,1.6954000000000087,1.2620065
02/08/22 6:00,4.656899999999994,1.1768829
02/08/22 7:00,3.857800000000003,1.0377315
02/08/22 8:00,1.627,0.9834782
02/08/22 9:00,1.927,0.97298974
02/08/22 10:00,1.362,0.90076745
02/08/22 11:00,1.21,0.7461642
02/08/22 12:00,1.383,0.54274154
02/08/22 13:00,0.841,0.4203268
02/08/22 14:00,1.003,0.29929093
02/08/22 15:00,0.663,0.25779247
02/08/22 16:00,1.135,0.40882844
02/08/22 17:00,0.935,0.50575674
02/08/22 18:00,2.66,0.77630043
02/08/22 19:00,1.467,0.76776624
02/08/22 20:00,1.489,0.86687243
02/08/22 21:00,1.444,0.85199606
02/08/22 22:00,1.359,0.99419296
02/08/22 23:00,1.46,1.0545006
