# file...... GLM_Files/OutPut_of_glm/HVACs/Home_6_HVAC_V__1_randomseed_1_2021_1.csv
# date...... Wed Jun 28 17:17:19 2023
# user...... rahman
# host...... (null)
# target.... house 165
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,hvac_load,energy,heating_setpoint,cooling_setpoint,mass_temperature, air_temperature,outdoor_temperature,system_mode,thermostat_deadband,aux_heat_deadband,floor_area,number_of_doors,number_of_stories,window_wall_ratio, heating_COP, cooling_COP,aux_heat_temperature_lockout
2021-05-13 00:00:00 PDT,+0,+0+0i,+72,+79,+72.4135,+72.4135,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:01:00 PDT,+0,+0+0i,+72,+79,+72.4113,+72.2421,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:02:00 PDT,+0,+0+0i,+72,+79,+72.4029,+72.0972,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:03:00 PDT,+0,+0+0i,+72,+79,+72.3896,+71.9735,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:04:00 PDT,+0,+0+0i,+72,+79,+72.3722,+71.8671,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:05:00 PDT,+0,+0+0i,+72,+79,+72.3516,+71.7748,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:06:00 PDT,+0,+0+0i,+72,+79,+72.3284,+71.6937,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:07:00 PDT,+0,+0+0i,+72,+79,+72.303,+71.6219,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:08:00 PDT,+0,+0+0i,+72,+79,+72.276,+71.5575,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:09:00 PDT,+0,+0+0i,+72,+79,+72.2476,+71.4991,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:10:00 PDT,+0,+0+0i,+72,+79,+72.2182,+71.4456,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:11:00 PDT,+0,+0+0i,+72,+79,+72.1878,+71.3961,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:12:00 PDT,+0,+0+0i,+72,+79,+72.1568,+71.3498,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:13:00 PDT,+0,+0+0i,+72,+79,+72.1252,+71.3061,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:14:00 PDT,+0,+0+0i,+72,+79,+72.0932,+71.2646,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:15:00 PDT,+0,+0+0i,+72,+79,+72.0608,+71.2248,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:16:00 PDT,+0,+0+0i,+72,+79,+72.0282,+71.1864,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:17:00 PDT,+0,+0+0i,+72,+79,+71.9954,+71.1492,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:18:00 PDT,+0,+0+0i,+72,+79,+71.9624,+71.1129,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:19:00 PDT,+0,+0+0i,+72,+79,+71.9293,+71.0774,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:20:00 PDT,+0,+0+0i,+72,+79,+71.8961,+71.0425,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:21:00 PDT,+0,+0+0i,+72,+79,+71.8629,+71.0082,+50.002,OFF,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:22:00 PDT,+4.73591,+0.0591989+0i,+72,+79,+71.8375,+71.488,+50.002,HEAT,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
2021-05-13 00:23:00 PDT,+4.73591,+0.138131+0i,+72,+79,+71.8364,+72.0466,+50.002,HEAT,+2,+2,+1750,+4,+1,+0.0632528,+2,+4,+10
