# file...... GLM_Files/OutPut_of_glm/TriplexMeterS/IEEE13_triplex_meter_House_1.csv
# date...... Thu Jun 15 10:12:00 2023
# user...... rahman
# host...... (null)
# target.... triplex_meter 125
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_energy,measured_reactive_energy,measured_real_power,measured_reactive_power
2022-05-13 00:00:00 PDT,+0,+0,+4702.87,+0.000183813
2022-05-13 00:01:00 PDT,+78.3812,+3.06355e-06,+4702.87,+1.17503e-05
2022-05-13 00:02:00 PDT,+156.762,+3.25939e-06,+4702.87,+6.25824e-07
2022-05-13 00:03:00 PDT,+235.144,+2.18264e-06,+4702.87,-5.30289e-06
2022-05-13 00:04:00 PDT,+313.525,+2.09426e-06,+4702.87,-6.01535e-08
2022-05-13 00:05:00 PDT,+391.906,+2.09394e-06,+4702.87,+0.000264632
2022-05-13 00:06:00 PDT,+470.287,+6.50446e-06,+4702.87,-2.22397e-06
2022-05-13 00:07:00 PDT,+548.668,+6.4674e-06,+4702.87,+1.94746e-09
2022-05-13 00:08:00 PDT,+627.049,+6.6504e-06,+4702.87,+9.93143e-07
2022-05-13 00:09:00 PDT,+784.208,+22.563,+9462.85,+2320.77
2022-05-13 00:10:00 PDT,+941.922,+61.2425,+9462.85,+2320.77
2022-05-13 00:11:00 PDT,+1099.64,+99.922,+9462.85,+2320.77
2022-05-13 00:12:00 PDT,+1221.34,+129.576,+202.87,+3.58398e-11
2022-05-13 00:13:00 PDT,+1224.72,+129.576,+202.87,-8.52651e-13
2022-05-13 00:14:00 PDT,+1228.1,+129.576,+202.87,-2.84217e-14
2022-05-13 00:15:00 PDT,+1231.48,+129.576,+202.87,-6.726e-11
2022-05-13 00:16:00 PDT,+1234.86,+129.576,+202.87,-2.50111e-11
2022-05-13 00:17:00 PDT,+1238.25,+129.576,+202.87,+1.07576e-11
2022-05-13 00:18:00 PDT,+1241.63,+129.576,+202.87,+4.26314e-08
2022-05-13 00:19:00 PDT,+1245.01,+129.576,+202.87,+7.72076e-11
2022-05-13 00:20:00 PDT,+1248.39,+129.576,+202.87,-1.8113e-09
2022-05-13 00:21:00 PDT,+1251.77,+129.576,+202.87,+1.06656e-08
2022-05-13 00:22:00 PDT,+1255.15,+129.576,+202.87,+9.9476e-14
2022-05-13 00:23:00 PDT,+1258.53,+129.576,+202.87,-7.10543e-14
2022-05-13 00:24:00 PDT,+1261.91,+129.576,+202.87,-1.67546e-11
2022-05-13 00:25:00 PDT,+1342.46,+148.916,+9462.85,+2320.77
2022-05-13 00:26:00 PDT,+1500.18,+187.596,+9462.85,+2320.77
2022-05-13 00:27:00 PDT,+1657.89,+226.275,+9462.85,+2320.77
2022-05-13 00:28:00 PDT,+1792.45,+259.153,+202.87,+4.16946e-11
2022-05-13 00:29:00 PDT,+1795.84,+259.153,+202.87,+1.13687e-12
2022-05-13 00:30:00 PDT,+1799.22,+259.153,+202.87,+0
2022-05-13 00:31:00 PDT,+1802.6,+259.153,+202.87,-3.04112e-11
2022-05-13 00:32:00 PDT,+1805.98,+259.153,+202.87,+1.77426e-07
2022-05-13 00:33:00 PDT,+1809.36,+259.153,+202.87,+8.21878e-08
2022-05-13 00:34:00 PDT,+1812.74,+259.153,+202.87,-1.9446e-09
2022-05-13 00:35:00 PDT,+1816.12,+259.153,+202.87,-9.9476e-14
2022-05-13 00:36:00 PDT,+1819.5,+259.153,+202.87,-1.67546e-11
2022-05-13 00:37:00 PDT,+1822.88,+259.153,+202.87,-2.98428e-13
